token	exchange	symbol	series	security_desc
13587	NSE_EQ	ACE	EQ	ACTION CONST EQUIP LTD
11779	NSE_EQ	ACEINTEG	EQ	ACE INTEGRATED SOLU. LTD.
12024	NSE_EQ	ACI	EQ	ARCHEAN CHEMICAL IND LTD
13688	NSE_EQ	ACLGATI	EQ	ALLCARGO GATI LIMITED
27061	NSE_EQ	ACMESOLAR	EQ	ACME SOLAR HOLDINGS LTD
5578	NSE_EQ	ACUTAAS	EQ	ACUTAAS CHEMICALS LIMITED
10217	NSE_EQ	ADANIENSOL	EQ	ADANI ENERGY SOLUTION LTD
3563	NSE_EQ	ADANIGREEN	EQ	ADANI GREEN ENERGY LTD
17388	NSE_EQ	ADANIPOWER	EQ	ADANI POWER LTD
19761	NSE_EQ	ADFFOODS	EQ	ADF FOODS LIMITED
4953	NSE_EQ	ADROITINFO	EQ	ADROIT INFOTECH LIMITED
14813	NSE_EQ	ADSL	EQ	ALLIED DIGITAL SERV. LTD
14745	NSE_EQ	ADVANIHOTR	EQ	ADVANI HOT.& RES.(I) LTD
18039	NSE_EQ	ADVENZYMES	EQ	ADVANCED ENZYME TECH LTD
40	NSE_EQ	AEGISLOG	EQ	AEGIS LOGISTICS LIMITED
757336	NSE_EQ	AEGISVOPAK	EQ	AEGIS VOPAK TERMINALS LTD
12015	NSE_EQ	AEROENTER	EQ	AEROFLEX ENTERPRISES LTD
18268	NSE_EQ	AEROFLEX	EQ	AEROFLEX INDUSTRIES LTD
13689	NSE_EQ	AERONEU	EQ	AEROFLEX NEU LIMITED
25977	NSE_EQ	AFCONS	EQ	AFCONS INFRASTRUCTURE LTD
11343	NSE_EQ	AFFLE	EQ	AFFLE 3I LIMITED
25855	NSE_EQ	AFFORDABLE	EQ	AFFORD ROBO & AUTO LTD
24159	NSE_EQ	AFIL	EQ	AKME FINTRADE (INDIA) LTD
13288	NSE_EQ	AFSL	EQ	ABANS FINANCIAL SRVCS LTD
3389	NSE_EQ	AGARIND	EQ	AGARWAL INDS CORP LTD.
29452	NSE_EQ	AGARWALEYE	EQ	DR AGARWALS HEALTH CARE L
1412	NSE_EQ	AGI	EQ	AGI GREENPAC LIMITED
19438	NSE_EQ	AHLEAST	EQ	ASIAN HOTELS (EAST) LTD
17833	NSE_EQ	AHLUCONT	EQ	AHLUWALIA CONT IND LTD
13086	NSE_EQ	AIAENG	EQ	AIA ENGINEERING LIMITED
9897	NSE_EQ	AIRAN	EQ	AIRAN LIMITED
6068	NSE_EQ	AIROLAM	EQ	AIRO LAM LIMITED
3403	NSE_EQ	AJOONI	EQ	AJOONI BIOTECH LIMITED
2176	NSE_EQ	AKG	EQ	AKG EXIM LIMITED
14890	NSE_EQ	AKI	EQ	AKI INDIA LIMITED
20178	NSE_EQ	AKSHARCHEM	EQ	AKSHARCHEM INDIA LIMITED
8591	NSE_EQ	AKSHOPTFBR	EQ	AKSH OPTIFIBRE LIMITED
24715	NSE_EQ	AKUMS	EQ	AKUMS DRUGS AND PHARMA L
1467	NSE_EQ	AKZOINDIA	EQ	AKZO NOBEL INDIA LIMITED
9921	NSE_EQ	ALANKIT	EQ	ALANKIT LIMITED
17256	NSE_EQ	ALBERTDAVD	EQ	ALBERT DAVID LIMITED
79	NSE_EQ	ALEMBICLTD	EQ	ALEMBIC LIMITED
13656	NSE_EQ	ALICON	EQ	ALICON CASTALLOY LIMITED
5265	NSE_EQ	ALIVUS	EQ	ALIVUS LIFE SCIENCES LTD
16959	NSE_EQ	ALKALI	EQ	ALKALI METALS LTD
11703	NSE_EQ	ALKEM	EQ	ALKEM LABORATORIES LTD.
4487	NSE_EQ	ALKYLAMINE	EQ	ALKYL AMINES CHEM. LTD
13501	NSE_EQ	ALLCARGO	EQ	ALLCARGO LOGISTICS LTD
11798	NSE_EQ	ALLDIGI	EQ	ALLDIGI TECH LIMITED
758448	NSE_EQ	ALLTIME	EQ	ALL TIME PLASTICS LIMITED
16719	NSE_EQ	ALMONDZ	EQ	ALMONDZ GLOBAL SEC LTD
17675	NSE_EQ	ALOKINDS	EQ	ALOK INDUSTRIES LIMITED
14848	NSE_EQ	ALPA	EQ	ALPA LABORATORIES LTD
19640	NSE_EQ	ALPHAETF	EQ	MIRAEAMC - ALPHAETF
14597	NSE_EQ	ALPHAGEO	EQ	ALPHAGEO (INDIA) LIMITED
